Converting Raw files into Matlab format 
Pretraining a deep autoencoder. 
The Science paper used 50 epochs. This uses  50 
Reducing num batches to 300. 
Pretraining Layer 1 with RBM: 784-500 
epoch 1
epoch 1 batch 1
epoch 1 batch 2
epoch 1 batch 3
epoch 1 batch 4
epoch 1 batch 5
epoch 1 batch 6
epoch 1 batch 7
epoch 1 batch 8
epoch 1 batch 9
epoch 1 batch 10
epoch 1 batch 11
epoch 1 batch 12
epoch 1 batch 13
epoch 1 batch 14
epoch 1 batch 15
epoch 1 batch 16
epoch 1 batch 17
epoch 1 batch 18
epoch 1 batch 19
epoch 1 batch 20
epoch 1 batch 21
epoch 1 batch 22
epoch 1 batch 23
epoch 1 batch 24
epoch 1 batch 25
epoch 1 batch 26
epoch 1 batch 27
epoch 1 batch 28
epoch 1 batch 29
epoch 1 batch 30
epoch 1 batch 31
epoch 1 batch 32
epoch 1 batch 33
epoch 1 batch 34
epoch 1 batch 35
epoch 1 batch 36
epoch 1 batch 37
epoch 1 batch 38
epoch 1 batch 39
epoch 1 batch 40
epoch 1 batch 41
epoch 1 batch 42
epoch 1 batch 43
epoch 1 batch 44
epoch 1 batch 45
epoch 1 batch 46
epoch 1 batch 47
epoch 1 batch 48
epoch 1 batch 49
epoch 1 batch 50
epoch 1 batch 51
epoch 1 batch 52
epoch 1 batch 53
epoch 1 batch 54
epoch 1 batch 55
epoch 1 batch 56
epoch 1 batch 57
epoch 1 batch 58
epoch 1 batch 59
epoch 1 batch 60
epoch 1 batch 61
epoch 1 batch 62
epoch 1 batch 63
epoch 1 batch 64
epoch 1 batch 65
epoch 1 batch 66
epoch 1 batch 67
epoch 1 batch 68
epoch 1 batch 69
epoch 1 batch 70
epoch 1 batch 71
epoch 1 batch 72
epoch 1 batch 73
epoch 1 batch 74
epoch 1 batch 75
epoch 1 batch 76
epoch 1 batch 77
epoch 1 batch 78
epoch 1 batch 79
epoch 1 batch 80
epoch 1 batch 81
epoch 1 batch 82
epoch 1 batch 83
epoch 1 batch 84
epoch 1 batch 85
epoch 1 batch 86
epoch 1 batch 87
epoch 1 batch 88
epoch 1 batch 89
epoch 1 batch 90
epoch 1 batch 91
epoch 1 batch 92
epoch 1 batch 93
epoch 1 batch 94
epoch 1 batch 95
epoch 1 batch 96
epoch 1 batch 97
epoch 1 batch 98
epoch 1 batch 99
epoch 1 batch 100
epoch 1 batch 101
epoch 1 batch 102
epoch 1 batch 103
epoch 1 batch 104
epoch 1 batch 105
epoch 1 batch 106
epoch 1 batch 107
epoch 1 batch 108
epoch 1 batch 109
epoch 1 batch 110
epoch 1 batch 111
epoch 1 batch 112
epoch 1 batch 113
epoch 1 batch 114
epoch 1 batch 115
epoch 1 batch 116
epoch 1 batch 117
epoch 1 batch 118
epoch 1 batch 119
epoch 1 batch 120
epoch 1 batch 121
epoch 1 batch 122
epoch 1 batch 123
epoch 1 batch 124
epoch 1 batch 125
epoch 1 batch 126
epoch 1 batch 127
epoch 1 batch 128
epoch 1 batch 129
epoch 1 batch 130
epoch 1 batch 131
epoch 1 batch 132
epoch 1 batch 133
epoch 1 batch 134
epoch 1 batch 135
epoch 1 batch 136
epoch 1 batch 137
epoch 1 batch 138
epoch 1 batch 139
epoch 1 batch 140
epoch 1 batch 141
epoch 1 batch 142
epoch 1 batch 143
epoch 1 batch 144
epoch 1 batch 145
epoch 1 batch 146
epoch 1 batch 147
epoch 1 batch 148
epoch 1 batch 149
epoch 1 batch 150
epoch 1 batch 151
epoch 1 batch 152
epoch 1 batch 153
epoch 1 batch 154
epoch 1 batch 155
epoch 1 batch 156
epoch 1 batch 157
epoch 1 batch 158
epoch 1 batch 159
epoch 1 batch 160
epoch 1 batch 161
epoch 1 batch 162
epoch 1 batch 163
epoch 1 batch 164
epoch 1 batch 165
epoch 1 batch 166
epoch 1 batch 167
epoch 1 batch 168
epoch 1 batch 169
epoch 1 batch 170
epoch 1 batch 171
epoch 1 batch 172
epoch 1 batch 173
epoch 1 batch 174
epoch 1 batch 175
epoch 1 batch 176
epoch 1 batch 177
epoch 1 batch 178
epoch 1 batch 179
epoch 1 batch 180
epoch 1 batch 181
epoch 1 batch 182
epoch 1 batch 183
epoch 1 batch 184
epoch 1 batch 185
epoch 1 batch 186
epoch 1 batch 187
epoch 1 batch 188
epoch 1 batch 189
epoch 1 batch 190
epoch 1 batch 191
epoch 1 batch 192
epoch 1 batch 193
epoch 1 batch 194
epoch 1 batch 195
epoch 1 batch 196
epoch 1 batch 197
epoch 1 batch 198
epoch 1 batch 199
epoch 1 batch 200
epoch 1 batch 201
epoch 1 batch 202
epoch 1 batch 203
epoch 1 batch 204
epoch 1 batch 205
epoch 1 batch 206
epoch 1 batch 207
epoch 1 batch 208
epoch 1 batch 209
epoch 1 batch 210
epoch 1 batch 211
epoch 1 batch 212
epoch 1 batch 213
epoch 1 batch 214
epoch 1 batch 215
epoch 1 batch 216
epoch 1 batch 217
epoch 1 batch 218
epoch 1 batch 219
epoch 1 batch 220
epoch 1 batch 221
epoch 1 batch 222
epoch 1 batch 223
epoch 1 batch 224
epoch 1 batch 225
epoch 1 batch 226
epoch 1 batch 227
epoch 1 batch 228
epoch 1 batch 229
epoch 1 batch 230
epoch 1 batch 231
epoch 1 batch 232
epoch 1 batch 233
epoch 1 batch 234
epoch 1 batch 235
epoch 1 batch 236
epoch 1 batch 237
epoch 1 batch 238
epoch 1 batch 239
epoch 1 batch 240
epoch 1 batch 241
epoch 1 batch 242
epoch 1 batch 243
epoch 1 batch 244
epoch 1 batch 245
epoch 1 batch 246
epoch 1 batch 247
epoch 1 batch 248
epoch 1 batch 249
epoch 1 batch 250
epoch 1 batch 251
epoch 1 batch 252
epoch 1 batch 253
epoch 1 batch 254
epoch 1 batch 255
epoch 1 batch 256
epoch 1 batch 257
epoch 1 batch 258
epoch 1 batch 259
epoch 1 batch 260
epoch 1 batch 261
epoch 1 batch 262
epoch 1 batch 263
epoch 1 batch 264
epoch 1 batch 265
epoch 1 batch 266
epoch 1 batch 267
epoch 1 batch 268
epoch 1 batch 269
epoch 1 batch 270
epoch 1 batch 271
epoch 1 batch 272
epoch 1 batch 273
epoch 1 batch 274
epoch 1 batch 275
epoch 1 batch 276
epoch 1 batch 277
epoch 1 batch 278
epoch 1 batch 279
epoch 1 batch 280
epoch 1 batch 281
epoch 1 batch 282
epoch 1 batch 283
epoch 1 batch 284
epoch 1 batch 285
epoch 1 batch 286
epoch 1 batch 287
epoch 1 batch 288
epoch 1 batch 289
epoch 1 batch 290
epoch 1 batch 291
epoch 1 batch 292
epoch 1 batch 293
epoch 1 batch 294
epoch 1 batch 295
epoch 1 batch 296
epoch 1 batch 297
epoch 1 batch 298
epoch 1 batch 299
epoch 1 batch 300
epoch    1 error 578407.3  
epoch 2
epoch 2 batch 1
epoch 2 batch 2
epoch 2 batch 3
epoch 2 batch 4
epoch 2 batch 5
epoch 2 batch 6
epoch 2 batch 7
epoch 2 batch 8
epoch 2 batch 9
epoch 2 batch 10
epoch 2 batch 11
epoch 2 batch 12
epoch 2 batch 13
epoch 2 batch 14
epoch 2 batch 15
epoch 2 batch 16
epoch 2 batch 17
epoch 2 batch 18
epoch 2 batch 19
epoch 2 batch 20
epoch 2 batch 21
epoch 2 batch 22
epoch 2 batch 23
epoch 2 batch 24
epoch 2 batch 25
epoch 2 batch 26
epoch 2 batch 27
epoch 2 batch 28
epoch 2 batch 29
epoch 2 batch 30
epoch 2 batch 31
epoch 2 batch 32
epoch 2 batch 33
epoch 2 batch 34
epoch 2 batch 35
epoch 2 batch 36
epoch 2 batch 37
epoch 2 batch 38
epoch 2 batch 39
epoch 2 batch 40
epoch 2 batch 41
epoch 2 batch 42
epoch 2 batch 43
epoch 2 batch 44
epoch 2 batch 45
epoch 2 batch 46
epoch 2 batch 47
epoch 2 batch 48
epoch 2 batch 49
epoch 2 batch 50
epoch 2 batch 51
epoch 2 batch 52
epoch 2 batch 53
epoch 2 batch 54
epoch 2 batch 55
epoch 2 batch 56
epoch 2 batch 57
epoch 2 batch 58
epoch 2 batch 59
epoch 2 batch 60
epoch 2 batch 61
epoch 2 batch 62
epoch 2 batch 63
epoch 2 batch 64
epoch 2 batch 65
epoch 2 batch 66
epoch 2 batch 67
epoch 2 batch 68
epoch 2 batch 69
epoch 2 batch 70
epoch 2 batch 71
epoch 2 batch 72
epoch 2 batch 73
epoch 2 batch 74
epoch 2 batch 75
epoch 2 batch 76
epoch 2 batch 77
epoch 2 batch 78
epoch 2 batch 79
epoch 2 batch 80
epoch 2 batch 81
epoch 2 batch 82
epoch 2 batch 83
epoch 2 batch 84
epoch 2 batch 85
epoch 2 batch 86
epoch 2 batch 87
epoch 2 batch 88
epoch 2 batch 89
epoch 2 batch 90
epoch 2 batch 91
epoch 2 batch 92
epoch 2 batch 93
epoch 2 batch 94
epoch 2 batch 95
epoch 2 batch 96
epoch 2 batch 97
epoch 2 batch 98
epoch 2 batch 99
epoch 2 batch 100
epoch 2 batch 101
epoch 2 batch 102
epoch 2 batch 103
epoch 2 batch 104
epoch 2 batch 105
epoch 2 batch 106
epoch 2 batch 107
epoch 2 batch 108
epoch 2 batch 109
epoch 2 batch 110
epoch 2 batch 111
epoch 2 batch 112
epoch 2 batch 113
epoch 2 batch 114
epoch 2 batch 115
epoch 2 batch 116
epoch 2 batch 117
epoch 2 batch 118
epoch 2 batch 119
epoch 2 batch 120
epoch 2 batch 121
epoch 2 batch 122
epoch 2 batch 123
epoch 2 batch 124
epoch 2 batch 125
epoch 2 batch 126
epoch 2 batch 127
epoch 2 batch 128
epoch 2 batch 129
epoch 2 batch 130
epoch 2 batch 131
epoch 2 batch 132
epoch 2 batch 133
epoch 2 batch 134
epoch 2 batch 135
epoch 2 batch 136
epoch 2 batch 137
epoch 2 batch 138
epoch 2 batch 139
epoch 2 batch 140
epoch 2 batch 141
epoch 2 batch 142
epoch 2 batch 143
epoch 2 batch 144
epoch 2 batch 145
epoch 2 batch 146
epoch 2 batch 147
epoch 2 batch 148
epoch 2 batch 149
epoch 2 batch 150
epoch 2 batch 151
epoch 2 batch 152
epoch 2 batch 153
epoch 2 batch 154
epoch 2 batch 155
epoch 2 batch 156
epoch 2 batch 157
epoch 2 batch 158
epoch 2 batch 159
epoch 2 batch 160
epoch 2 batch 161
epoch 2 batch 162
epoch 2 batch 163
epoch 2 batch 164
epoch 2 batch 165
epoch 2 batch 166
epoch 2 batch 167
epoch 2 batch 168
epoch 2 batch 169
epoch 2 batch 170
epoch 2 batch 171
epoch 2 batch 172
epoch 2 batch 173
epoch 2 batch 174
epoch 2 batch 175
epoch 2 batch 176
epoch 2 batch 177
epoch 2 batch 178
epoch 2 batch 179
epoch 2 batch 180
epoch 2 batch 181
epoch 2 batch 182
epoch 2 batch 183
epoch 2 batch 184
epoch 2 batch 185
epoch 2 batch 186
epoch 2 batch 187
epoch 2 batch 188
epoch 2 batch 189
epoch 2 batch 190
epoch 2 batch 191
epoch 2 batch 192
epoch 2 batch 193
epoch 2 batch 194
epoch 2 batch 195
epoch 2 batch 196
epoch 2 batch 197
epoch 2 batch 198
epoch 2 batch 199
epoch 2 batch 200
epoch 2 batch 201
epoch 2 batch 202
epoch 2 batch 203
epoch 2 batch 204
epoch 2 batch 205
epoch 2 batch 206
epoch 2 batch 207
epoch 2 batch 208
epoch 2 batch 209
epoch 2 batch 210
epoch 2 batch 211
epoch 2 batch 212
epoch 2 batch 213
epoch 2 batch 214
epoch 2 batch 215
epoch 2 batch 216
epoch 2 batch 217
epoch 2 batch 218
epoch 2 batch 219
epoch 2 batch 220
epoch 2 batch 221
epoch 2 batch 222
epoch 2 batch 223
epoch 2 batch 224
epoch 2 batch 225
epoch 2 batch 226
epoch 2 batch 227
epoch 2 batch 228
epoch 2 batch 229
epoch 2 batch 230
epoch 2 batch 231
epoch 2 batch 232
epoch 2 batch 233
epoch 2 batch 234
epoch 2 batch 235
epoch 2 batch 236
epoch 2 batch 237
epoch 2 batch 238
epoch 2 batch 239
epoch 2 batch 240
epoch 2 batch 241
epoch 2 batch 242
epoch 2 batch 243
epoch 2 batch 244
epoch 2 batch 245
epoch 2 batch 246
epoch 2 batch 247
epoch 2 batch 248
epoch 2 batch 249
epoch 2 batch 250
epoch 2 batch 251
epoch 2 batch 252
epoch 2 batch 253
epoch 2 batch 254
epoch 2 batch 255
epoch 2 batch 256
epoch 2 batch 257
epoch 2 batch 258
epoch 2 batch 259
epoch 2 batch 260
epoch 2 batch 261
epoch 2 batch 262
epoch 2 batch 263
epoch 2 batch 264
epoch 2 batch 265
epoch 2 batch 266
epoch 2 batch 267
epoch 2 batch 268
epoch 2 batch 269
epoch 2 batch 270
epoch 2 batch 271
epoch 2 batch 272
epoch 2 batch 273
epoch 2 batch 274
epoch 2 batch 275
epoch 2 batch 276
epoch 2 batch 277
epoch 2 batch 278
epoch 2 batch 279
epoch 2 batch 280
epoch 2 batch 281
epoch 2 batch 282
epoch 2 batch 283
epoch 2 batch 284
epoch 2 batch 285
epoch 2 batch 286
epoch 2 batch 287
epoch 2 batch 288
epoch 2 batch 289
epoch 2 batch 290
epoch 2 batch 291
epoch 2 batch 292
epoch 2 batch 293
epoch 2 batch 294
epoch 2 batch 295
epoch 2 batch 296
epoch 2 batch 297
epoch 2 batch 298
epoch 2 batch 299
epoch 2 batch 300
epoch    2 error 341098.1  
epoch 3
epoch 3 batch 1
epoch 3 batch 2
epoch 3 batch 3
epoch 3 batch 4
epoch 3 batch 5
epoch 3 batch 6
epoch 3 batch 7
epoch 3 batch 8
epoch 3 batch 9
epoch 3 batch 10
epoch 3 batch 11
epoch 3 batch 12
epoch 3 batch 13
epoch 3 batch 14
epoch 3 batch 15
epoch 3 batch 16
epoch 3 batch 17
epoch 3 batch 18
epoch 3 batch 19
